BUILDING_REFERENCE_NUMBER,OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,INSPECTION_DATE,TYPE_OF_ASSESSMENT,LODGEMENT_DATE,ENERGY_CONSUMPTION_CURRENT,TOTAL_FLOOR_AREA,3_YR_ENERGY_COST_CURRENT,3_YR_ENERGY_SAVINGS_POTENTIAL,CURRENT_ENERGY_EFFICIENCY,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_RATING,ENVIRONMENT_IMPACT_CURRENT,CURRENT_ENVIRONMENTAL_RATING,ENVIRONMENT_IMPACT_POTENTIAL,POTENTIAL_ENVIRONMENTAL_RATING,CO2_EMISS_CURR_PER_FLOOR_AREA,IMPROVEMENTS,WALL_DESCRIPTION,WALL_ENERGY_EFF,WALL_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,AIR_TIGHTNESS_DESCRIPTION,AIR_TIGHTNESS_ENERGY_EFF,AIR_TIGHTNESS_ENV_EFF,CO2_EMISSIONS_CURRENT,CO2_EMISSIONS_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,ALTERNATIVE_IMPROVEMENTS,LZC_ENERGY_SOURCES,SPACE_HEATING_DEMAND,WATER_HEATING_DEMAND,IMPACT_LOFT_INSULATION,IMPACT_CAVITY_WALL_INSULATION,IMPACT_SOLID_WALL_INSULATION,ADDENDUM_TEXT,CONSTRUCTION_AGE_BAND,FLOOR_HEIGHT,DATA_ZONE,ENERGY_CONSUMPTION_POTENTIAL,EXTENSION_COUNT,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,LOW_ENERGY_LIGHTING,FLOOR_LEVEL,FLAT_TOP_STOREY,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,HEAT_LOSS_CORRIDOOR,NUMBER_HEATED_ROOMS,LOCAL_AUTHORITY_LABEL,MAINS_GAS_FLAG,MAIN_HEATING_CATEGORY,MAIN_FUEL,MAIN_HEATING_CONTROLS,MECHANICAL_VENTILATION,ENERGY_TARIFF,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,NUMBER_OPEN_FIREPLACES,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,TENURE,TRANSACTION_TYPE,UNHEATED_CORRIDOR_LENGTH,CONSTITUENCY,CONSTITUENCY_LABEL,WIND_TURBINE_COUNT,BUILT_FORM,PROPERTY_TYPE,DATA_ZONE_2011,"CREATED_AT "
1000007847,906351706,"2F4  ","15 ALBERT STREET ","EDINBURGH ",EH7 5LQ,2024-01-25,"RdSAP, existing dwelling",2024-02-12,175.00,35,1620.0000,309.0000,78,C,81,B,83,B,87,B,31.00,"Description: Low energy lighting for all fixed outlets; Indicative Cost: £10; Typical Saving: 19; Energy Rating after improvement: B 81; Environmental Rating after improvement: B 87; Green Deal Eligible: N | Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 84; Energy Rating after improvement: C 80; Environmental Rating after improvement: B 86; Green Deal Eligible: Y | ","Sandstone or limestone, as built, no insulation (assumed) | Solid brick, as built, partial insulation (assumed) ","Poor | Average ","Poor | Average ","(another dwelling above) ","N/A ","N/A ","(another dwelling below) ","N/A ","N/A ","Description: Fully double glazed ","Good ","Good ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in 60% of fixed outlets ","Good ","Good ",,,,1.10,0.30,1029.0000,780.0000,366.00,369.00,225.00,162.00,,,2221,1422,0,0,-1008,,before 1919,2.89,S01002217 (Lorne),132.00,0,5,3,60,mid floor,02,1,2,unheated corridor,2,Edinburgh City,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,4.2,00QPMM,Leith Walk,0,Mid-Terrace,Flat,S01008804 (Leith (Albert Street) - 03),2024-02-12 14:18:17.5546706
1000008134,118122672,"49A ALEXANDER STREET ","DUNBETH ","COATBRIDGE ",ML5 3JL,2024-03-12,"RdSAP, existing dwelling",2024-03-12,234.00,72,3627.0000,273.0000,70,C,72,C,68,D,71,C,41.00,"Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 92; Energy Rating after improvement: C 72; Environmental Rating after improvement: C 71; Green Deal Eligible: Y | ","Cavity wall, as built, partial insulation (assumed) | Cavity wall, filled cavity ","Average | Average ","Average | Average ","(another dwelling above) ","N/A ","N/A ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,3.00,0.30,2862.0000,2589.0000,456.00,456.00,309.00,309.00,,,9418,1779,0,-285,0,,1950-1964,2.31,S01004809 (Sunnyside and Cliftonville),214.00,1,7,7,100,ground floor,00,1,3,unheated corridor,3,North Lanarkshire,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,double glazing installed before 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,7.4,00QZMF,Coatbridge North and Glenboig,0,Mid-Terrace,Maisonette,S01011594 (Sunnyside and Cliftonville - 03),2024-03-12 13:13:34.5586851
1000008220,906210506,"FLAT 7  ","20 RESTALRIG DRIVE ","EDINBURGH ",EH7 6FY,2024-01-15,"RdSAP, existing dwelling",2024-01-17,395.00,71,5124.0000,1125.0000,67,D,74,C,50,E,58,D,67.00,"Description: Increase loft insulation to 270 mm; Indicative Cost: £100 - £350; Typical Saving: 129; Energy Rating after improvement: C 70; Environmental Rating after improvement: E 53; Green Deal Eligible: Y | Description: High heat retention storage heaters; Indicative Cost: £1,200 - £1,800; Typical Saving: 246; Energy Rating after improvement: C 74; Environmental Rating after improvement: D 58; Green Deal Eligible: Y | ","Cavity wall, as built, insulated (assumed) ","Good ","Good ","Pitched, 100 mm loft insulation ","Average ","Average ","(another dwelling below) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Electric storage heaters ","Average ","Very Poor ","Manual charge control ","Poor ","Poor ","Room heaters, electric ","N/A ","N/A ","Electric immersion, off-peak ","Average ","Poor ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,4.70,0.90,3633.0000,2508.0000,1116.00,1116.00,375.00,375.00,"Description: Biomass boiler (Exempted Appliance if in Smoke Control Area) | Description: Air or ground source heat pump |  ",,6756,2055,-719,0,0,,1992-1998,2.4,S01002212 (Restalrig (Loganlea)),320.00,0,10,10,100,top floor,03,1,3,unheated corridor,3,Edinburgh City,,electric storage heaters,electricity (not community),2401,natural,dual,100,"double glazing, unknown install date",0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,rental,8.57,00QPMP,Craigentinny/Duddingston,0,Mid-Terrace,Flat,S01008754 (Restalrig (Loganlea) and Craigentinny West - 04),2024-01-17 10:28:39.8963484
1000010764,9051113698,"FLAT B  ","14 JASMINE PLACE ","ABERDEEN ",AB24 5LB,2024-03-22,"RdSAP, existing dwelling",2024-03-25,270.00,68,3981.0000,1230.0000,68,D,76,C,65,D,77,C,48.00,"Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 191; Energy Rating after improvement: C 72; Environmental Rating after improvement: C 71; Green Deal Eligible: Y | Description: Replacement glazing units; Indicative Cost: £1,000 - £1,400; Typical Saving: 50; Energy Rating after improvement: C 76; Environmental Rating after improvement: C 77; Green Deal Eligible: Y | Description: Low energy lighting for all fixed outlets; Indicative Cost: £10; Typical Saving: 29; Energy Rating after improvement: C 75; Environmental Rating after improvement: C 75; Green Deal Eligible: N | Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 140; Energy Rating after improvement: C 75; Environmental Rating after improvement: C 75; Green Deal Eligible: Y | ","Granite or whinstone, as built, no insulation (assumed) | Timber frame, as built, no insulation (assumed) ","Poor | Poor ","Poor | Poor ","(another dwelling above) ","N/A ","N/A ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in 67% of fixed outlets ","Good ","Good ",,,,3.30,1.20,3057.0000,1923.0000,528.00,531.00,396.00,297.00,,,10193,1982,0,0,-2259,,before 1919,2.88,S01000130 (Hanover),177.00,0,6,4,67,ground floor,00,1,3,unheated corridor,3,Aberdeen City,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,double glazing installed before 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,9.8,00QAMH,George St/Harbour,0,End-Terrace,Flat,S01006638 (Hanover South - 02),2024-03-25 16:21:06.5442857
1000011471,906121958,"FLAT 1  ","19 HAWKHILL ","EDINBURGH ",EH7 6LA,2024-01-12,"RdSAP, existing dwelling",2024-01-17,243.00,57,3069.0000,681.0000,70,C,76,C,70,C,78,C,43.00,"Description: Replace boiler with new condensing boiler; Indicative Cost: £2,200 - £3,000; Typical Saving: 139; Energy Rating after improvement: C 76; Environmental Rating after improvement: C 78; Green Deal Eligible: Y | Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 87; Energy Rating after improvement: C 73; Environmental Rating after improvement: C 73; Green Deal Eligible: Y | ","Cavity wall, as built, insulated (assumed) | Cavity wall, filled cavity ","Good | Good ","Good | Good ","(another dwelling above) ","N/A ","N/A ","Suspended, limited insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Boiler and radiators, mains gas ","Good ","Good ","Programmer and room thermostat ","Average ","Average ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,2.40,0.60,1998.0000,1545.0000,813.00,585.00,258.00,258.00,"Description: Micro CHP |  ",,5200,2585,0,0,0,,1992-1998,2.47,S01002237 (Hermitage Park and Prospect Bank),179.00,0,6,6,100,ground floor,00,1,3,unheated corridor,3,Edinburgh City,,boiler with radiators or underfloor heating,mains gas (not community),2104,natural,Single,100,"double glazing, unknown install date",0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,rented (private),rental,8.83,00QPMN,Leith,0,Semi-Detached,Flat,S01008761 (Restalrig and Lochend - 06),2024-01-17 16:33:17.7301950
1000008386,141014138,"FLAT D  ","12 GARDEN STREET ","AYR ",KA8 0BB,2024-02-12,"RdSAP, existing dwelling",2024-02-13,280.00,67,4311.0000,1101.0000,67,D,77,C,62,D,64,D,47.00,"Description: High heat retention storage heaters; Indicative Cost: £1,200 - £1,800; Typical Saving: 324; Energy Rating after improvement: C 77; Environmental Rating after improvement: D 64; Green Deal Eligible: Y | Description: Add additional 80 mm jacket to hot water cylinder; Indicative Cost: £15 - £30; Typical Saving: 42; Energy Rating after improvement: D 68; Environmental Rating after improvement: D 64; Green Deal Eligible: Y | ","Cavity wall, as built, insulated (assumed) ","Good ","Good ","(another dwelling above) ","N/A ","N/A ","(another dwelling below) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Room heaters, electric ","Very Poor ","Poor ","Appliance thermostats ","Good ","Good ","None ","N/A ","N/A ","Electric immersion, off-peak ","Poor ","Poor ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,3.20,0.20,2724.0000,1833.0000,1248.00,1011.00,339.00,366.00,"Description: Biomass boiler (Exempted Appliance if in Smoke Control Area) | Description: Air or ground source heat pump |  ",,3377,2397,0,0,0,,1984-1991,2.47,"S01005590 (Ayr North Harbour, Wallacetown and Newton South)",269.00,0,7,7,100,mid floor,01,1,3,unheated corridor,3,South Ayrshire,,room heaters,electricity (not community),2602,natural,dual,100,double glazing installed before 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,rented (private),rental,5.32,00REMC,Ayr North,0,End-Terrace,Flat,"S01012492 (Ayr North Harbour, Wallacetown and Newton South - 06)",2024-02-13 08:50:48.7393572
1000008415,906358855,"PF1  ","13 PIERSFIELD GROVE ","EDINBURGH ",EH8 7BU,2024-02-19,"RdSAP, existing dwelling",2024-03-04,209.00,53,2550.0000,684.0000,74,C,80,C,75,C,83,B,37.00,"Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 95; Energy Rating after improvement: C 80; Environmental Rating after improvement: B 83; Green Deal Eligible: Y | Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 133; Energy Rating after improvement: C 77; Environmental Rating after improvement: C 80; Green Deal Eligible: Y | ","Sandstone or limestone, as built, no insulation (assumed) | Solid brick, as built, no insulation (assumed) ","Poor | Poor ","Poor | Poor ","(another dwelling above) ","N/A ","N/A ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Good ","Good ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,2.00,0.70,1920.0000,1236.0000,396.00,396.00,234.00,234.00,,,5718,1543,0,0,-1574,,before 1919,2.9,S01002155 (Northfield),140.00,0,8,8,100,ground floor,00,1,2,unheated corridor,2,Edinburgh City,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,5.31,00QPMP,Craigentinny/Duddingston,0,Mid-Terrace,Flat,S01008746 (Northfield and Piershill - 04),2024-03-04 15:30:16.4383711
1000006810,120038783,"60 ESK BRIDGE ","KIRKHILL ","PENICUIK ",EH26 8QR,2024-02-22,"RdSAP, existing dwelling",2024-02-23,147.00,68,2373.0000,0.0000,80,C,80,C,82,B,82,B,26.00,,"Timber frame, as built, insulated (assumed) ","Good ","Good ","Pitched, 250 mm loft insulation ","Good ","Good ","(another dwelling below) ","N/A ","N/A ","Description: Fully double glazed ","Good ","Good ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,1.80,0.00,1437.0000,1437.0000,621.00,621.00,315.00,315.00,,,3808,2283,0,0,0,,2003-2007,2.45,S01004122 (Rural South Midlothian),147.00,0,10,10,100,top floor,02,1,3,unheated corridor,3,Midlothian,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,100,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,2.01,00QWMA,Penicuik,0,Semi-Detached,Flat,S01010930 (Rural South Midlothian - 01),2024-02-23 15:42:03.4593545
1000007294,151143271,"8 CORMACK PARK ","ROTHIENORMAN ","INVERURIE ",AB51 8GL,2024-03-06,"RdSAP, existing dwelling",2024-03-11,183.00,192,6717.0000,1725.0000,63,D,79,C,55,D,73,C,48.00,"Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 61; Energy Rating after improvement: D 65; Environmental Rating after improvement: D 57; Green Deal Eligible: Y | Description: Increase loft insulation to 270 mm; Indicative Cost: £100 - £350; Typical Saving: 61; Energy Rating after improvement: D 64; Environmental Rating after improvement: D 56; Green Deal Eligible: Y | Description: Upgrade heating controls; Indicative Cost: £350 - £450; Typical Saving: 136; Energy Rating after improvement: D 67; Environmental Rating after improvement: D 60; Green Deal Eligible: Y | Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: £3,500 - £5,500; Typical Saving: 488; Energy Rating after improvement: C 79; Environmental Rating after improvement: C 73; Green Deal Eligible: Y | Description: Solar water heating; Indicative Cost: £4,000 - £6,000; Typical Saving: 72; Energy Rating after improvement: C 73; Environmental Rating after improvement: D 68; Green Deal Eligible: Y | Description: Replace boiler with new condensing boiler; Indicative Cost: £2,200 - £3,000; Typical Saving: 245; Energy Rating after improvement: C 72; Environmental Rating after improvement: D 65; Green Deal Eligible: Y | ","Solid brick, as built, insulated (assumed) ","Good ","Good ","Pitched, 100 mm loft insulation | Roof room(s), insulated ","Average | Good ","Average | Good ","Suspended, insulated (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Good ","Good ","Boiler and radiators, oil ","Average ","Average ","Programmer, TRVs and bypass ","Average ","Average ","None ","N/A ","N/A ","From main system ","Average ","Average ","Low energy lighting in 97% of fixed outlets ","Very Good ","Very Good ",,,,9.20,3.40,5334.0000,4002.0000,792.00,399.00,591.00,591.00,,,18988,2775,-683,0,0,,2003-2007,2.4,S01000447 (Fyvie-Rothie),108.00,1,29,28,97,,,1,8,,8,Aberdeenshire,,boiler with radiators or underfloor heating,oil (not community),2107,natural,Single,100,double glazing installed during or after 2002,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,,00QBMG,Turriff and District,0,Detached,House,S01006996 (Fyvie-Rothie - 06),2024-03-11 14:26:40.6972090
1000007899,906319868,"2F1  ","15 SPITTAL STREET ","EDINBURGH ",EH3 9DY,2024-01-29,"RdSAP, existing dwelling",2024-01-29,223.00,79,4158.0000,1857.0000,69,C,81,B,68,D,84,B,39.00,"Description: Low energy lighting for all fixed outlets; Indicative Cost: £10; Typical Saving: 31; Energy Rating after improvement: C 78; Environmental Rating after improvement: C 80; Green Deal Eligible: N | Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 382; Energy Rating after improvement: C 77; Environmental Rating after improvement: C 78; Green Deal Eligible: Y | Description: Replace single glazed windows with low-E double glazed windows; Indicative Cost: £3,300 - £6,500; Typical Saving: 157; Energy Rating after improvement: B 81; Environmental Rating after improvement: B 84; Green Deal Eligible: Y | Description: Draughtproofing; Indicative Cost: £80 - £120; Typical Saving: 50; Energy Rating after improvement: C 77; Environmental Rating after improvement: C 79; Green Deal Eligible: Y | ","Sandstone or limestone, as built, no insulation (assumed) | Solid brick, as built, no insulation (assumed) ","Poor | Poor ","Poor | Poor ","(another dwelling above) ","N/A ","N/A ","(another dwelling below) ","N/A ","N/A ","Description: Single glazed ","Very Poor ","Very Poor ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, room thermostat and TRVs ","Good ","Good ","Room heaters, electric ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in 67% of fixed outlets ","Good ","Good ",,,,3.10,1.50,3231.0000,1473.0000,486.00,489.00,441.00,339.00,,,8606,1906,0,0,-3572,,before 1919,3.41,S01002093 (Tollcross),113.00,0,6,4,67,mid floor,02,1,4,unheated corridor,4,Edinburgh City,,boiler with radiators or underfloor heating,mains gas (not community),2106,natural,Single,0,not defined,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,rented (private),rental,7.55,00QPML,City Centre,0,Mid-Terrace,Flat,S01008661 (Tollcross - 03),2024-01-29 12:43:57.9986305
1000008054,906047302,"FLAT 10  ","32 CASTLE TERRACE ","EDINBURGH ",EH1 2EL,2024-01-25,"RdSAP, existing dwelling",2024-01-27,377.00,43,3522.0000,669.0000,61,D,67,D,58,D,67,D,66.00,"Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 98; Energy Rating after improvement: D 64; Environmental Rating after improvement: D 62; Green Deal Eligible: Y | Description: Replace single glazed windows with low-E double glazed windows; Indicative Cost: £3,300 - £6,500; Typical Saving: 74; Energy Rating after improvement: D 67; Environmental Rating after improvement: D 67; Green Deal Eligible: Y | Description: Upgrade heating controls; Indicative Cost: £350 - £450; Typical Saving: 50; Energy Rating after improvement: D 65; Environmental Rating after improvement: D 64; Green Deal Eligible: Y | ","Sandstone or limestone, as built, no insulation (assumed) | Solid brick, as built, partial insulation (assumed) ","Poor | Average ","Poor | Average ","Pitched, no insulation ","Very Poor ","Very Poor ","(another dwelling below) ","N/A ","N/A ","Description: Single glazed ","Very Poor ","Very Poor ","Boiler and radiators, mains gas ","Good ","Good ","Programmer, TRVs and bypass ","Average ","Average ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in all fixed outlets ","Very Good ","Very Good ",,,,2.90,0.60,2883.0000,2214.0000,447.00,447.00,192.00,192.00,,,8858,1744,-4367,0,-1300,,before 1919,3,S01002109 (Tollcross),296.00,0,6,6,100,top floor,03,1,2,unheated corridor,2,Edinburgh City,,boiler with radiators or underfloor heating,mains gas (not community),2107,natural,Single,0,not defined,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,rented (private),rental,4.67,00QPML,City Centre,0,Mid-Terrace,Flat,S01008660 (Tollcross - 02),2024-01-27 14:08:15.7987574
1000008130,118122667,"47A ALEXANDER STREET ","DUNBETH ","COATBRIDGE ",ML5 3JL,2024-03-22,"RdSAP, existing dwelling",2024-03-23,262.00,71,4032.0000,909.0000,67,D,74,C,64,D,73,C,46.00,"Description: Internal or external wall insulation; Indicative Cost: £4,000 - £14,000; Typical Saving: 73; Energy Rating after improvement: C 70; Environmental Rating after improvement: D 68; Green Deal Eligible: Y | Description: Upgrade heating controls; Indicative Cost: £350 - £450; Typical Saving: 47; Energy Rating after improvement: C 74; Environmental Rating after improvement: C 73; Green Deal Eligible: Y | Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 107; Energy Rating after improvement: C 72; Environmental Rating after improvement: C 71; Green Deal Eligible: Y | Description: Low energy lighting for all fixed outlets; Indicative Cost: £10; Typical Saving: 22; Energy Rating after improvement: C 73; Environmental Rating after improvement: C 72; Green Deal Eligible: N | Description: Cavity wall insulation; Indicative Cost: £500 - £1,500; Typical Saving: 53; Energy Rating after improvement: D 68; Environmental Rating after improvement: D 66; Green Deal Eligible: Y | ","Cavity wall, as built, partial insulation (assumed) | Cavity wall, filled cavity | Solid brick, as built, no insulation (assumed) ","Average | Average | Very Poor ","Average | Average | Very Poor ","(another dwelling above) | Flat, limited insulation (assumed) ","N/A | Very Poor ","N/A | Very Poor ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Boiler and radiators, mains gas ","Good ","Good ","TRVs and bypass ","Average ","Average ","None ","N/A ","N/A ","From main system ","Good ","Good ","Low energy lighting in 75% of fixed outlets ","Very Good ","Very Good ",,,,3.30,0.80,3135.0000,2304.0000,516.00,516.00,381.00,303.00,"Description: External insulation with cavity wall insulation |  Cavity, internal or external wall insulation",,9787,2009,0,-592,-812,,1965-1975,2.4,S01004809 (Sunnyside and Cliftonville),197.00,3,8,6,75,ground floor,00,4,3,unheated corridor,3,North Lanarkshire,,boiler with radiators or underfloor heating,mains gas (not community),2111,natural,Single,0,not defined,0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,rented (private),none of the above,14.08,00QZMF,Coatbridge North and Glenboig,0,Mid-Terrace,Maisonette,S01011594 (Sunnyside and Cliftonville - 03),2024-03-23 12:10:34.8958835
1000008171,484048516,"25 SOLWAY COURT ",,"HAMILTON ",ML3 8TR,2024-01-19,"RdSAP, existing dwelling",2024-01-19,460.00,65,6054.0000,2394.0000,62,D,89,B,48,E,73,C,78.00,"Description: High heat retention storage heaters and dual immersion cylinder; Indicative Cost: £1,200 - £1,800; Typical Saving: 448; Energy Rating after improvement: C 75; Environmental Rating after improvement: D 57; Green Deal Eligible: Y | Description: Floor insulation (suspended floor); Indicative Cost: £800 - £1,200; Typical Saving: 203; Energy Rating after improvement: D 65; Environmental Rating after improvement: E 53; Green Deal Eligible: Y | Description: Solar photovoltaic panels, 2.5 kWp; Indicative Cost: £3,500 - £5,500; Typical Saving: 547; Energy Rating after improvement: B 89; Environmental Rating after improvement: C 73; Green Deal Eligible: Y | Description: Low energy lighting for all fixed outlets; Indicative Cost: £25; Typical Saving: 49; Energy Rating after improvement: D 66; Environmental Rating after improvement: E 53; Green Deal Eligible: N | Description: Solar water heating; Indicative Cost: £4,000 - £6,000; Typical Saving: 98; Energy Rating after improvement: C 77; Environmental Rating after improvement: D 63; Green Deal Eligible: Y | ","Cavity wall, filled cavity ","Average ","Average ","Pitched, 270 mm loft insulation ","Good ","Good ","Suspended, no insulation (assumed) ","N/A ","N/A ","Description: Fully double glazed ","Average ","Average ","Electric storage heaters ","Average ","Very Poor ","Automatic charge control ","Average ","Average ","Portable electric heaters (assumed) ","N/A ","N/A ","Electric immersion, off-peak ","Very Poor ","Poor ","Low energy lighting in 38% of fixed outlets ","Average ","Average ",,,,5.10,2.40,4074.0000,2781.0000,1458.00,558.00,522.00,321.00,"Description: Biomass boiler (Exempted Appliance if in Smoke Control Area) | Description: Air or ground source heat pump |  ",,7575,1686,0,0,0,,1965-1975,2.4,S01005848 (Woodhead and Meikle Earnock),249.00,0,8,3,38,,,1,3,,3,South Lanarkshire,,electric storage heaters,electricity (not community),2402,natural,dual,100,"double glazing, unknown install date",0,"Array: Roof Area: 0%; Connection: not applicable (FGHRS or no PV);  | ",N,owner-occupied,marketed sale,,00RFMU,Hamilton South,0,Mid-Terrace,House,S01012730 (Woodhead and Meikle Earnock - 02),2024-01-19 12:53:29.2320617
